Date,Location ISO Code,Location,New Cases,New Deaths
31/03/20,ID-YO,Daerah Istimewa Yogyakarta,5,0
31/03/20,IDN,Indonesia,114,14
31/03/20,ID-JA,Jambi,0,0
31/03/20,ID-JB,Jawa Barat,9,0
31/03/20,ID-JT,Jawa Tengah,12,2
31/03/20,ID-JI,Jawa Timur,2,2
31/03/20,ID-KB,Kalimantan Barat,0,0
31/03/20,ID-KS,Kalimantan Selatan,2,0
31/03/20,ID-KT,Kalimantan Tengah,2,0
31/03/20,ID-KI,Kalimantan Timur,3,1
31/03/20,ID-KU,Kalimantan Utara,0,0
31/03/20,ID-BB,Kepulauan Bangka Belitung,1,1
31/03/20,ID-KR,Kepulauan Riau,1,0
31/03/20,ID-LA,Lampung,0,1
31/03/20,ID-MA,Maluku,0,0
31/03/20,ID-MU,Maluku Utara,0,0
31/03/20,ID-NB,Nusa Tenggara Barat,2,0
31/03/20,ID-PA,Papua,1,0
31/03/20,ID-PB,Papua Barat,0,0
31/03/20,ID-RI,Riau,0,0
31/03/20,ID-SR,Sulawesi Barat,0,0
31/03/20,ID-SN,Sulawesi Selatan,0,1
31/03/20,ID-ST,Sulawesi Tengah,0,0
31/03/20,ID-SG,Sulawesi Tenggara,0,0
31/03/20,ID-SB,Sumatera Barat,0,0
31/03/20,ID-SS,Sumatera Selatan,3,0
31/03/20,ID-SU,Sumatera Utara,6,2
01/04/20,ID-AC,Aceh,0,0
01/04/20,ID-BA,Bali,6,0
01/04/20,ID-BT,Banten,12,0
01/04/20,ID-BE,Bengkulu,0,0
01/04/20,ID-JK,DKI Jakarta,61,1
01/04/20,ID-YO,Daerah Istimewa Yogyakarta,5,0
01/04/20,IDN,Indonesia,149,21
01/04/20,ID-JA,Jambi,0,0
01/04/20,ID-JB,Jawa Barat,24,0
01/04/20,ID-JT,Jawa Tengah,8,7
01/04/20,ID-JI,Jawa Timur,10,0
01/04/20,ID-KB,Kalimantan Barat,1,0
01/04/20,ID-KS,Kalimantan Selatan,0,0
01/04/20,ID-KT,Kalimantan Tengah,0,0
01/04/20,ID-KI,Kalimantan Timur,1,0
01/04/20,ID-KU,Kalimantan Utara,0,0
01/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
01/04/20,ID-KR,Kepulauan Riau,0,0
01/04/20,ID-LA,Lampung,0,0
01/04/20,ID-MA,Maluku,0,0
01/04/20,ID-MU,Maluku Utara,0,0
01/04/20,ID-NB,Nusa Tenggara Barat,2,0
01/04/20,ID-PA,Papua,0,0
01/04/20,ID-PB,Papua Barat,0,0
01/04/20,ID-RI,Riau,0,1
01/04/20,ID-SR,Sulawesi Barat,0,0
01/04/20,ID-SN,Sulawesi Selatan,14,0
01/04/20,ID-ST,Sulawesi Tengah,0,0
01/04/20,ID-SG,Sulawesi Tenggara,0,0
01/04/20,ID-SA,Sulawesi Utara,1,0
01/04/20,ID-SB,Sumatera Barat,0,0
01/04/20,ID-SS,Sumatera Selatan,0,0
01/04/20,ID-SU,Sumatera Utara,2,0
02/04/20,ID-AC,Aceh,0,0
02/04/20,ID-BA,Bali,0,0
02/04/20,ID-BT,Banten,6,1
02/04/20,ID-BE,Bengkulu,0,0
02/04/20,ID-JK,DKI Jakarta,72,5
02/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,1
02/04/20,IDN,Indonesia,113,13
02/04/20,ID-JA,Jambi,0,0
02/04/20,ID-JB,Jawa Barat,20,4
02/04/20,ID-JT,Jawa Tengah,0,2
02/04/20,ID-JI,Jawa Timur,0,1
02/04/20,ID-KB,Kalimantan Barat,0,1
02/04/20,ID-KS,Kalimantan Selatan,0,0
02/04/20,ID-KT,Kalimantan Tengah,0,0
02/04/20,ID-KI,Kalimantan Timur,0,0
02/04/20,ID-KU,Kalimantan Utara,0,0
02/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
02/04/20,ID-KR,Kepulauan Riau,0,1
02/04/20,ID-LA,Lampung,0,0
02/04/20,ID-MA,Maluku,0,0
02/04/20,ID-MU,Maluku Utara,0,0
02/04/20,ID-NB,Nusa Tenggara Barat,0,0
02/04/20,ID-PA,Papua,0,0
02/04/20,ID-PB,Papua Barat,0,0
02/04/20,ID-RI,Riau,4,0
02/04/20,ID-SR,Sulawesi Barat,0,0
02/04/20,ID-SN,Sulawesi Selatan,0,2
02/04/20,ID-ST,Sulawesi Tengah,0,1
02/04/20,ID-SG,Sulawesi Tenggara,0,0
02/04/20,ID-SA,Sulawesi Utara,0,0
02/04/20,ID-SB,Sumatera Barat,0,0
02/04/20,ID-SS,Sumatera Selatan,6,0
02/04/20,ID-SU,Sumatera Utara,0,0
03/04/20,ID-AC,Aceh,0,0
03/04/20,ID-BA,Bali,3,0
03/04/20,ID-BT,Banten,4,3
03/04/20,ID-BE,Bengkulu,1,0
03/04/20,ID-JK,DKI Jakarta,70,6
03/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
03/04/20,IDN,Indonesia,196,11
03/04/20,ID-JA,Jambi,0,0
03/04/20,ID-JB,Jawa Barat,2,1
03/04/20,ID-JT,Jawa Tengah,13,1
03/04/20,ID-JI,Jawa Timur,49,0
03/04/20,ID-KB,Kalimantan Barat,0,0
03/04/20,ID-KS,Kalimantan Selatan,0,0
03/04/20,ID-KT,Kalimantan Tengah,2,0
03/04/20,ID-KI,Kalimantan Timur,1,0
03/04/20,ID-KU,Kalimantan Utara,6,0
03/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
03/04/20,ID-KR,Kepulauan Riau,2,0
03/04/20,ID-LA,Lampung,3,1
03/04/20,ID-MA,Maluku,0,0
03/04/20,ID-MU,Maluku Utara,0,0
03/04/20,ID-NB,Nusa Tenggara Barat,0,0
03/04/20,ID-PA,Papua,6,1
03/04/20,ID-PB,Papua Barat,0,0
03/04/20,ID-RI,Riau,3,0
03/04/20,ID-SR,Sulawesi Barat,1,0
03/04/20,ID-SN,Sulawesi Selatan,15,0
03/04/20,ID-ST,Sulawesi Tengah,2,1
03/04/20,ID-SG,Sulawesi Tenggara,2,0
03/04/20,ID-SA,Sulawesi Utara,0,0
03/04/20,ID-SB,Sumatera Barat,0,0
03/04/20,ID-SS,Sumatera Selatan,1,0
03/04/20,ID-SU,Sumatera Utara,0,0
04/04/20,ID-AC,Aceh,0,0
04/04/20,ID-BA,Bali,5,0
04/04/20,ID-BT,Banten,3,0
04/04/20,ID-BE,Bengkulu,0,0
04/04/20,ID-JK,DKI Jakarta,58,8
04/04/20,ID-YO,Daerah Istimewa Yogyakarta,5,0
04/04/20,IDN,Indonesia,106,10
04/04/20,ID-JA,Jambi,0,0
04/04/20,ID-JB,Jawa Barat,22,2
04/04/20,ID-JT,Jawa Tengah,8,1
04/04/20,ID-JI,Jawa Timur,0,3
04/04/20,ID-KB,Kalimantan Barat,0,0
04/04/20,ID-KS,Kalimantan Selatan,0,0
04/04/20,ID-KT,Kalimantan Tengah,0,0
04/04/20,ID-KI,Kalimantan Timur,2,0
04/04/20,ID-KU,Kalimantan Utara,0,0
04/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
04/04/20,ID-KR,Kepulauan Riau,0,0
04/04/20,ID-LA,Lampung,0,0
04/04/20,ID-MA,Maluku,0,0
04/04/20,ID-MU,Maluku Utara,0,0
04/04/20,ID-NB,Nusa Tenggara Barat,0,0
04/04/20,ID-PA,Papua,2,0
04/04/20,ID-PB,Papua Barat,0,0
04/04/20,ID-RI,Riau,0,0
04/04/20,ID-SR,Sulawesi Barat,0,0
04/04/20,ID-SN,Sulawesi Selatan,0,2
04/04/20,ID-ST,Sulawesi Tengah,0,0
04/04/20,ID-SG,Sulawesi Tenggara,0,0
04/04/20,ID-SA,Sulawesi Utara,0,1
04/04/20,ID-SB,Sumatera Barat,0,0
04/04/20,ID-SS,Sumatera Selatan,0,0
04/04/20,ID-SU,Sumatera Utara,3,1
05/04/20,ID-AC,Aceh,0,0
05/04/20,ID-BA,Bali,3,0
05/04/20,ID-BT,Banten,4,0
05/04/20,ID-BE,Bengkulu,0,0
05/04/20,ID-JK,DKI Jakarta,85,11
05/04/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
05/04/20,IDN,Indonesia,181,7
05/04/20,ID-JA,Jambi,0,0
05/04/20,ID-JB,Jawa Barat,10,0
05/04/20,ID-JT,Jawa Tengah,0,0
05/04/20,ID-JI,Jawa Timur,35,2
05/04/20,ID-KB,Kalimantan Barat,0,0
05/04/20,ID-KS,Kalimantan Selatan,8,1
05/04/20,ID-KT,Kalimantan Tengah,0,0
05/04/20,ID-KI,Kalimantan Timur,1,0
05/04/20,ID-KU,Kalimantan Utara,0,0
05/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
05/04/20,ID-KR,Kepulauan Riau,1,0
05/04/20,ID-LA,Lampung,0,0
05/04/20,ID-MA,Maluku,0,0
05/04/20,ID-MU,Maluku Utara,0,0
05/04/20,ID-NB,Nusa Tenggara Barat,0,0
05/04/20,ID-PA,Papua,8,0
05/04/20,ID-PB,Papua Barat,0,0
05/04/20,ID-RI,Riau,1,1
05/04/20,ID-SR,Sulawesi Barat,0,0
05/04/20,ID-SN,Sulawesi Selatan,2,2
05/04/20,ID-ST,Sulawesi Tengah,1,0
05/04/20,ID-SG,Sulawesi Tenggara,0,0
05/04/20,ID-SA,Sulawesi Utara,0,0
05/04/20,ID-SB,Sumatera Barat,0,0
05/04/20,ID-SS,Sumatera Selatan,4,0
05/04/20,ID-SU,Sumatera Utara,0,0
06/04/20,ID-AC,Aceh,0,0
06/04/20,ID-BA,Bali,7,0
06/04/20,ID-BT,Banten,9,1
06/04/20,ID-BE,Bengkulu,0,0
06/04/20,ID-JK,DKI Jakarta,103,7
06/04/20,ID-YO,Daerah Istimewa Yogyakarta,3,0
06/04/20,IDN,Indonesia,218,11
06/04/20,ID-JA,Jambi,0,0
06/04/20,ID-JB,Jawa Barat,15,1
06/04/20,ID-JT,Jawa Tengah,12,4
06/04/20,ID-JI,Jawa Timur,3,0
06/04/20,ID-KB,Kalimantan Barat,0,0
06/04/20,ID-KS,Kalimantan Selatan,2,0
06/04/20,ID-KT,Kalimantan Tengah,9,0
06/04/20,ID-KI,Kalimantan Timur,6,0
06/04/20,ID-KU,Kalimantan Utara,7,0
06/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
06/04/20,ID-KR,Kepulauan Riau,0,0
06/04/20,ID-LA,Lampung,1,0
06/04/20,ID-MA,Maluku,0,0
06/04/20,ID-MU,Maluku Utara,0,0
06/04/20,ID-NB,Nusa Tenggara Barat,3,0
06/04/20,ID-PA,Papua,0,1
06/04/20,ID-PB,Papua Barat,0,0
06/04/20,ID-RI,Riau,1,0
06/04/20,ID-SR,Sulawesi Barat,0,0
