Date,Location ISO Code,Location,New Cases,New Deaths
07/04/20,ID-MA,Maluku,0,0
07/04/20,ID-MU,Maluku Utara,0,0
07/04/20,ID-NB,Nusa Tenggara Barat,0,0
07/04/20,ID-PA,Papua,1,0
07/04/20,ID-PB,Papua Barat,0,0
07/04/20,ID-RI,Riau,0,0
07/04/20,ID-SR,Sulawesi Barat,0,0
07/04/20,ID-SN,Sulawesi Selatan,0,10
07/04/20,ID-ST,Sulawesi Tengah,0,0
07/04/20,ID-SG,Sulawesi Tenggara,0,0
07/04/20,ID-SA,Sulawesi Utara,1,3
07/04/20,ID-SB,Sumatera Barat,0,0
07/04/20,ID-SS,Sumatera Selatan,0,0
07/04/20,ID-SU,Sumatera Utara,0,0
08/04/20,ID-AC,Aceh,0,0
08/04/20,ID-BA,Bali,0,6
08/04/20,ID-BT,Banten,0,19
08/04/20,ID-BE,Bengkulu,0,0
08/04/20,ID-JK,DKI Jakarta,8,89
08/04/20,ID-YO,Daerah Istimewa Yogyakarta,3,0
08/04/20,IDN,Indonesia,19,218
08/04/20,ID-JA,Jambi,0,0
08/04/20,ID-JB,Jawa Barat,5,23
08/04/20,ID-JT,Jawa Tengah,2,7
08/04/20,ID-JI,Jawa Timur,0,2
